Feature,Score
admin name2__Butte,0
admin name2__Cabarrus,0
admin name2__Cabell,0
admin name2__Caddo,0
admin name2__Caddo Parish,0
admin name2__Calaveras,0
admin name2__Calcasieu,0
admin name2__Caldwell,0
admin name2__Caledonia,0
admin name2__Calhoun,0
admin name2__Callaway,0
admin name2__Calloway,0
admin name2__Calumet,0
admin name2__Calvert,0
admin name2__Cambria,0
admin name2__Camden,0
admin name2__Cameron,0
admin name2__Camp,0
admin name2__Campbell,0
admin name2__Canadian,0
admin name2__Cannon,0
admin name2__Canyon,0
admin name2__Cape May,0
admin name2__Carbon,0
admin name2__Caribou,0
admin name2__Carlton,0
admin name2__Caroline,0
admin name2__Carroll,0
admin name2__Carter,0
admin name2__Carteret,0
admin name2__Carver,0
admin name2__Cass,0
admin name2__Catawba,0
admin name2__Catoosa,0
admin name2__Cattaraugus,0
admin name2__Cecil,0
admin name2__Cedar,0
admin name2__Centre,0
admin name2__Cerro Gordo,0
admin name2__Chambers,0
admin name2__Champaign,0
admin name2__Charles,0
admin name2__Charleston,0
admin name2__Charlevoix,0
admin name2__Charlotte,0
admin name2__Charlottesville (city),0
admin name2__Chatham,0
admin name2__Chautauqua,0
admin name2__Chaves,0
admin name2__Cheatham,0
admin name2__Chelan,0
admin name2__Chemung,0
admin name2__Chenango,0
admin name2__Cherokee,0
admin name2__Chesapeake (city),0
admin name2__Cheshire,0
admin name2__Chester,0
admin name2__Chesterfield,0
admin name2__Cheyenne,0
admin name2__Chickasaw,0
admin name2__Chippewa,0
admin name2__Chisago,0
admin name2__Chittenden,0
admin name2__Choctaw,0
admin name2__Christian,0
admin name2__Cibola,0
admin name2__Cimarron,0
admin name2__Citrus,0
admin name2__City and County of San Francisco,0
admin name2__City of Alexandria,0
admin name2__City of Richmond,0
admin name2__City of Suffolk,0
admin name2__Clackamas,0
admin name2__Clallam,0
admin name2__Clarendon,0
admin name2__Clarion,0
admin name2__Clark,0
admin name2__Clarke,0
admin name2__Clatsop,0
admin name2__Clay,0
admin name2__Clayton,0
admin name2__Clearfield,0
admin name2__Cleburne,0
admin name2__Clermont,0
admin name2__Cleveland,0
